timestamp,open,high,low,close,volume
2025-04-01T14:00:00+00:00,371.2204,371.2204,369.9167,370.4724,1000007.0
2025-04-01T15:00:00+00:00,370.4724,370.4724,369.2882,369.8437,1000151.0
2025-04-01T16:00:00+00:00,369.8437,369.8437,368.3213,368.8759,1000308.0
2025-04-01T17:00:00+00:00,368.8759,368.8759,367.6017,368.154,1000021.0
2025-04-01T18:00:00+00:00,368.154,368.154,366.9625,367.5143,1000131.0
2025-04-01T19:00:00+00:00,367.5143,367.5143,366.2342,366.7844,1000006.0
2025-04-01T20:00:00+00:00,366.7844,366.7844,365.5694,366.119,1000093.0
2025-04-02T14:00:00+00:00,366.119,366.119,364.8375,365.3856,1000001.0
2025-04-02T15:00:00+00:00,365.3856,365.3856,364.0996,364.6467,1000011.0
2025-04-02T16:00:00+00:00,364.6467,364.6467,363.5286,364.0756,1000217.0
2025-04-02T17:00:00+00:00,364.0756,364.0756,362.5608,363.1069,1000330.0
2025-04-02T18:00:00+00:00,363.1069,363.1069,361.424,361.9694,1000566.0
2025-04-02T19:00:00+00:00,361.9694,363.2119,361.9694,362.6677,1000055.0
2025-04-02T20:00:00+00:00,362.6677,363.8804,362.6677,363.3354,1000011.0
2025-04-03T14:00:00+00:00,363.3354,364.5495,363.3354,364.0035,1000010.0
2025-04-03T15:00:00+00:00,364.0035,365.2357,364.0035,364.6885,1000031.0
2025-04-03T16:00:00+00:00,364.6885,365.9541,364.6885,365.4057,1000074.0
2025-04-03T17:00:00+00:00,365.4057,366.5745,365.4057,366.0252,1000061.0
2025-04-03T18:00:00+00:00,366.0252,367.2813,366.0252,366.731,1000055.0
2025-04-03T19:00:00+00:00,366.731,367.9751,366.731,367.4238,1000035.0
2025-04-03T20:00:00+00:00,367.4238,368.537,367.4238,367.9844,1000146.0
2025-04-04T14:00:00+00:00,367.9844,369.1902,367.9844,368.6371,1000022.0
2025-04-04T15:00:00+00:00,368.6371,369.884,368.6371,369.3299,1000030.0
2025-04-04T16:00:00+00:00,369.3299,370.4818,369.3299,369.9264,1000101.0
2025-04-04T17:00:00+00:00,369.9264,371.2492,369.9264,370.6926,1000126.0
